Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OY282871,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1701,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282872,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1497,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282873,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1410,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282874,Influenza A virus,Alphainfluenzavirus influenzae,,,7,982,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282875,Influenza A virus,Alphainfluenzavirus influenzae,,,8,863,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282876,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282877,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282878,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2204,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282879,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282880,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282881,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282882,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282883,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282884,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-04,2023-07-06,ssRNA(-)
OY282885,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-04,2023-07-06,ssRNA(-)
OY282886,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1427,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-04,2023-07-06,ssRNA(-)
OY282887,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-04,2023-07-06,ssRNA(-)
OY282888,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-04,2023-07-06,ssRNA(-)
OY282889,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282890,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282891,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2232,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282892,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282893,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282894,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282895,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282896,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY282897,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282898,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282899,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282900,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282901,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282902,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282903,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282904,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2233,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282905,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282906,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282907,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282908,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282909,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282910,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-12,2023-07-06,ssRNA(-)
OY282911,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-12,2023-07-06,ssRNA(-)
OY282912,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2234,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-12,2023-07-06,ssRNA(-)
OY282913,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-12,2023-07-06,ssRNA(-)
OY282914,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-12,2023-07-06,ssRNA(-)
OY282915,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-12,2023-07-06,ssRNA(-)
OY282916,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-12,2023-07-06,ssRNA(-)
OY282917,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-12,2023-07-06,ssRNA(-)
OY282918,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-20,2023-07-06,ssRNA(-)
OY282919,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-20,2023-07-06,ssRNA(-)
OY282920,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2196,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-20,2023-07-06,ssRNA(-)
OY282921,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-20,2023-07-06,ssRNA(-)
OY282922,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1567,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-20,2023-07-06,ssRNA(-)
OY282923,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-20,2023-07-06,ssRNA(-)
OY282924,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-20,2023-07-06,ssRNA(-)
OY282925,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-20,2023-07-06,ssRNA(-)
OY282926,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282927,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282928,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2233,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282929,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282930,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282931,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282932,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282933,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282934,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282935,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2291,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282936,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2233,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282937,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282938,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282939,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282940,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282941,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282942,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2244,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-19,2023-07-06,ssRNA(-)
OY282943,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1701,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-19,2023-07-06,ssRNA(-)
OY282944,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1497,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-19,2023-07-06,ssRNA(-)
OY282945,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1410,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-19,2023-07-06,ssRNA(-)
OY282946,Influenza A virus,Alphainfluenzavirus influenzae,,,7,982,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-19,2023-07-06,ssRNA(-)
OY282947,Influenza A virus,Alphainfluenzavirus influenzae,,,8,863,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-19,2023-07-06,ssRNA(-)
OY282948,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1701,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-10-26,2023-07-06,ssRNA(-)
OY282949,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1497,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-10-26,2023-07-06,ssRNA(-)
OY282950,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1410,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-10-26,2023-07-06,ssRNA(-)
OY282951,Influenza A virus,Alphainfluenzavirus influenzae,,,7,982,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-10-26,2023-07-06,ssRNA(-)
OY282952,Influenza A virus,Alphainfluenzavirus influenzae,,,8,863,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-10-26,2023-07-06,ssRNA(-)
OY282953,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-14,2023-07-06,ssRNA(-)
OY282954,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2339,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-14,2023-07-06,ssRNA(-)
OY282955,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2233,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-14,2023-07-06,ssRNA(-)
OY282956,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-14,2023-07-06,ssRNA(-)
OY282957,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-14,2023-07-06,ssRNA(-)
OY282958,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-14,2023-07-06,ssRNA(-)
OY282959,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-14,2023-07-06,ssRNA(-)
OY282960,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-14,2023-07-06,ssRNA(-)
OY282961,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1701,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282962,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1497,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282963,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1410,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282964,Influenza A virus,Alphainfluenzavirus influenzae,,,7,982,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282965,Influenza A virus,Alphainfluenzavirus influenzae,,,8,863,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-22,2023-07-06,ssRNA(-)
OY282966,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1701,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",1900-01-13,2023-07-06,ssRNA(-)
OY282967,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1497,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",1900-01-13,2023-07-06,ssRNA(-)
OY282968,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1410,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",1900-01-13,2023-07-06,ssRNA(-)
OY282969,Influenza A virus,Alphainfluenzavirus influenzae,,,7,982,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",1900-01-13,2023-07-06,ssRNA(-)
OY282970,Influenza A virus,Alphainfluenzavirus influenzae,,,8,863,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",1900-01-13,2023-07-06,ssRNA(-)
OY282971,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282972,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282973,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2233,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282974,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282975,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282976,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282977,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282978,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282979,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282980,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2216,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282981,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282982,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282983,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282984,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282985,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282986,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-31,2023-07-06,ssRNA(-)
OY282987,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-31,2023-07-06,ssRNA(-)
OY282988,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2228,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-31,2023-07-06,ssRNA(-)
OY282989,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-31,2023-07-06,ssRNA(-)
OY282990,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-31,2023-07-06,ssRNA(-)
OY282991,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-31,2023-07-06,ssRNA(-)
OY282992,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-31,2023-07-06,ssRNA(-)
OY282993,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-31,2023-07-06,ssRNA(-)
OY282994,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1701,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282995,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1497,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282996,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1410,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282997,Influenza A virus,Alphainfluenzavirus influenzae,,,7,982,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282998,Influenza A virus,Alphainfluenzavirus influenzae,,,8,863,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY282999,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-06,2023-07-06,ssRNA(-)
OY283000,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-06,2023-07-06,ssRNA(-)
OY283001,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2233,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-06,2023-07-06,ssRNA(-)
OY283002,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-06,2023-07-06,ssRNA(-)
OY283003,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-06,2023-07-06,ssRNA(-)
OY283004,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-06,2023-07-06,ssRNA(-)
OY283005,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-06,2023-07-06,ssRNA(-)
OY283006,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-01-06,2023-07-06,ssRNA(-)
OY283007,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1730,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY283008,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY283009,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY283010,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY283011,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-13,2023-07-06,ssRNA(-)
OY283012,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY283013,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2341,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY283014,Influenza A virus,Alphainfluenzavirus influenzae,,,3,2233,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY283015,Influenza A virus,Alphainfluenzavirus influenzae,,,4,1762,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY283016,Influenza A virus,Alphainfluenzavirus influenzae,,,5,1566,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY283017,Influenza A virus,Alphainfluenzavirus influenzae,,,6,1466,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY283018,Influenza A virus,Alphainfluenzavirus influenzae,,,7,1027,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY283019,Influenza A virus,Alphainfluenzavirus influenzae,,,8,890,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2022-12-23,2023-07-06,ssRNA(-)
OY283020,Influenza A virus,Alphainfluenzavirus influenzae,,,1,2334,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-03-20,2023-07-06,ssRNA(-)
OY283021,Influenza A virus,Alphainfluenzavirus influenzae,,,2,2351,partial,United Kingdom,Homo sapiens,,"Sanderson DAVID,N.",2023-03-20,2023-07-06,ssRNA(-)
