Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OQ764272,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.4,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-09,2023-05-03,ssRNA(-)
OQ764273,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.4,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-09,2023-05-03,ssRNA(-)
OQ764274,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.4,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-09,2023-05-03,ssRNA(-)
OQ764275,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.4,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-09,2023-05-03,ssRNA(-)
OQ764276,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.4,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-09,2023-05-03,ssRNA(-)
OQ764277,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.4,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-09,2023-05-03,ssRNA(-)
OQ764278,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.4,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-09,2023-05-03,ssRNA(-)
OQ764279,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.5,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-20,2023-05-03,ssRNA(-)
OQ764280,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.5,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-20,2023-05-03,ssRNA(-)
OQ764281,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.5,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-20,2023-05-03,ssRNA(-)
OQ764282,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.5,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-20,2023-05-03,ssRNA(-)
OQ764283,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.5,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-20,2023-05-03,ssRNA(-)
OQ764284,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.5,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-20,2023-05-03,ssRNA(-)
OQ764285,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.5,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-20,2023-05-03,ssRNA(-)
OQ764286,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A1.5,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-20,2023-05-03,ssRNA(-)
OQ764287,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A3,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-19,2023-05-03,ssRNA(-)
OQ764288,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A3,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-19,2023-05-03,ssRNA(-)
OQ764289,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A3,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-19,2023-05-03,ssRNA(-)
OQ764290,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A3,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-19,2023-05-03,ssRNA(-)
OQ764291,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A3,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-19,2023-05-03,ssRNA(-)
OQ764292,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A3,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-19,2023-05-03,ssRNA(-)
OQ764293,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A3,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-19,2023-05-03,ssRNA(-)
OQ764294,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A3,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-19,2023-05-03,ssRNA(-)
OQ764295,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A5,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764296,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A5,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764297,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A5,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764298,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A5,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764299,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A5,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764300,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A5,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764301,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A5,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764302,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_A5,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764303,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B1,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764304,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B1,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764305,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B1,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764306,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B1,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764307,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B1,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764308,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B1,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764309,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B1,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764310,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B1,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764311,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B2,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764312,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B2,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764313,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B2,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764314,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B2,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764315,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B2,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764316,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B2,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764317,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B2,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764318,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B2,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764319,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B4,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764320,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B4,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764321,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B4,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764322,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B4,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764323,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B4,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764324,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B4,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764325,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B4,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764326,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_B4,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764327,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C1,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764328,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C1,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764329,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C1,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764330,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C1,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764331,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C1,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764332,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C1,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764333,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C1,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764334,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C1,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764335,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C3,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-24,2023-05-03,ssRNA(-)
OQ764336,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C3,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-24,2023-05-03,ssRNA(-)
OQ764337,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C3,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-24,2023-05-03,ssRNA(-)
OQ764338,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C3,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-24,2023-05-03,ssRNA(-)
OQ764339,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C3,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-24,2023-05-03,ssRNA(-)
OQ764340,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C3,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-24,2023-05-03,ssRNA(-)
OQ764341,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C3,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-24,2023-05-03,ssRNA(-)
OQ764342,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_C3,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-24,2023-05-03,ssRNA(-)
OQ764343,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E1,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-31,2023-05-03,ssRNA(-)
OQ764344,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E1,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-31,2023-05-03,ssRNA(-)
OQ764345,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E1,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-31,2023-05-03,ssRNA(-)
OQ764346,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E1,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-31,2023-05-03,ssRNA(-)
OQ764347,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E1,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-31,2023-05-03,ssRNA(-)
OQ764348,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E1,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-31,2023-05-03,ssRNA(-)
OQ764349,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E1,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-31,2023-05-03,ssRNA(-)
OQ764350,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E1,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-31,2023-05-03,ssRNA(-)
OQ764351,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E2,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-01,2023-05-03,ssRNA(-)
OQ764352,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E2,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-01,2023-05-03,ssRNA(-)
OQ764353,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E2,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-01,2023-05-03,ssRNA(-)
OQ764354,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E2,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-01,2023-05-03,ssRNA(-)
OQ764355,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E2,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-01,2023-05-03,ssRNA(-)
OQ764356,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E2,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-01,2023-05-03,ssRNA(-)
OQ764357,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E2,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-01,2023-05-03,ssRNA(-)
OQ764358,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_E2,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-01,2023-05-03,ssRNA(-)
OQ764359,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED1,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764360,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED1,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764361,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED1,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764362,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED1,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764363,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED1,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764364,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED1,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764365,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED1,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764366,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED1,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-20,2023-05-03,ssRNA(-)
OQ764367,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED102,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764368,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED102,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764369,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED102,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
OQ764370,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED102,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-25,2023-05-03,ssRNA(-)
